member_casual,month,ride_count
casual,2022-06,369022
casual,2022-07,406013
casual,2022-08,358886
casual,2022-09,296664
casual,2022-10,208961
casual,2022-11,100742
casual,2022-12,44891
casual,2023-01,40005
casual,2023-02,43014
casual,2023-03,62194
casual,2023-04,147269
casual,2023-05,234153
member,2022-06,400116
member,2022-07,417403
member,2022-08,426969
member,2022-09,404603
member,2022-10,349659
member,2022-11,236935
member,2022-12,136901
member,2023-01,150288
member,2023-02,147422
member,2023-03,196465
member,2023-04,279285
member,2023-05,370603
